RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"301891","","Biff Bang Pow!","","","The Girl Who Runs the Beat Hotel","1987","6","n","","",  ""
"9697757","","City Hunter","","","Deep Blood","2018","5","n","","",  ""
"9646965","","Crypteria","","","Crypteria","2018","5","n","","",  ""
"7250710","","Cvinger","","","Embodied in Incense","2016","6","n","","",  ""
"9219788","","Doomentor","","","Opus Diabolae","2018","6","n","","",  ""
"9526282","","Embra","","","Abjection","2018","7","n","","",  ""
"4194","","Emperor","","","Anthems to the Welkin at Dusk","1997","10","n","","",  ""
"4826871","","Ephel Duath","","","Hemmed by Light, Shaped by Darkness","2013","4","n","","",  ""
"910136","","Evil Army","","","Evil Army","2006","7","n","","",  ""
"8566396","","Fanculo Merda","","","Fanculo Merda","2016","6","n","","",  ""
"14121460","","Fanculo Merda","","","Malessere Esistenziale","2017","6","n","","",  ""
"12036191","The","Glorious Dead","","","Into Lifeless Shrines","2020","6","n","","",  ""
"138246","Benny","Goodman","","","Together Again!","1964","8","n","","",  ""
"7587165","","Hate &amp; Merda","","","La Capitale del Male","2016","7","n","","",  ""
"14382617","","Hate &amp; Merda","","","Ovunque Distruggi","2022","6","n","","",  ""
"36592","A","House","","","I Am the Greatest","1991","6","n","","",  ""
"14757163","","Imperial Triumphant","","","Spirit of Ecstasy","2022","7","n","","",  ""
"14139","","Josef K","","","The Only Fun in Town","1981","7","n","","",  ""
"8759429","","Left Cross","","","Chaos Ascension","2017","6","n","","",  ""
"423318","","Lucifugum","","","Path of Wolf","1996","6","n","","",  ""
"291593","","Lucifugum","","","Нахристихрящях","1999","7","n","","",  ""
"423351","","Lucifugum","","","Социопат: Философия цинизма","2003","7","n","","",  ""
"9994313","","Mephorash","","","Shem Ha Mephorash","2019","6","n","","",  ""
"21347","","Microdisney","","","Everybody Is Fantastic","1984","7","n","","",  ""
"779","Thelonious","Monk","","","Solo Monk","1965","7","n","","",  ""
"6713551","","Mephorash","","","1557: Rites of Nullification","2015","5","n","","",  ""
"11348256","","Imperial Triumphant","","","Alphaville","2020","7","n","","",  ""
"6414113","","Abyssal","","","Antikatastaseis","2015","7","n","","",  ""
"284707","","Evoken","","","Antithesis of Light","2005","7","n","","",  ""
"8638196","","Konstrukt &amp; 灰野敬二 [Keiji Haino]","","","A Philosophy Warping, Little by Little That Way Lies a Quagmire","2017","6","n","","",  ""
"11698","","The Blue Nile","","","A Walk Across the Rooftops","1984","7","n","","",  ""
"9075529","","Antlers","","","Beneath.Below.Behold","2018","7","n","","",  ""
"8651","","Supertramp","","","Breakfast in America","1979","9","n","","",  ""
"28266","","Disgorge","","","Chronic Corpora Infest","1998","6","n","","",  ""
"5756437","","Ne Obliviscaris","","","Citadel","2014","7","n","","",  ""
"30127","","Disgorge","","","Consume the Forsaken","2002","6","n","","",  ""
"9620308","","Ulthar","","","Cosmovore","2018","6","n","","",  ""
"40147","","Thelonious Monk","","","Criss-Cross","1963","8","n","","",  ""
"4385925","","P.L.F.","","","Devious Persecution and Wholesale Slaughter","2013","6","n","","",  ""
"2863","","Daft Punk","","","Discovery","2001","8","n","","",  ""
"10747","","Patti Smith Group","","","Easter","1978","7","n","","",  ""
"677120","","Masayuki Takayanagi and New Direction Unit","","","Eclipse / 侵蝕","1975","8","n","","",  ""
"165817","","Evoken","","","Embrace the Emptiness","1998","6","n","","",  ""
"9565026","","Mindforce","","","Excalibur","2018","7","n","","",  ""
"6292602","","Vorator","","","Extermination March","2015","5","n","","",  ""
"3807853","","Macintosh Plus","","","Floral Shoppe","2011","7","n","","",  ""
"28265","","Disgorge","","","Forensick","2000","6","n","","",  ""
"688270","","富樫雅彦 [Masahiko Togashi]","","","Guild for Human Music","1976","7","n","","",  ""
"11697","","The Blue Nile","","","Hats","1989","8","n","","",  ""
"10005933","","Aihos","","","Hävityksen maa","2019","6","n","","",  ""
"13742790","","Hyperdontia","","","Hideous Entity","2021","6","n","","",  ""
"51","","Bob Dylan","","","Highway 61 Revisited","1965","9","n","","",  ""
"3137","","Kate Bush","","","Hounds of Love","1985","9","n","","",  ""
"3177","","Willie Dixon","","","I Am the Blues","1970","8","n","","",  ""
"9914335","","Isegrimm","","","Ik gihorta dat seggen","2019","6","n","","",  ""
"12095","","Caravan","","","In the Land of Grey and Pink","1971","7","n","","",  ""
"40393","","Thelonious Monk","","","It's Monk's Time","1964","7","n","","",  ""
"56980","","Paddy McAloon","","","I Trawl the MEGAHERTZ","2003","6","n","","",  ""
"8758192","","Panphage","","","Jord","2018","6","n","","",  ""
"1150417","","Discordance Axis","","","Jouhou","1997","7","n","","",  ""
"9041985","","Alkaloid","","","Liquid Anatomy","2018","5","n","","",  ""
"24374","","B.B. King","","","Live at the Regal","1965","7","n","","",  ""
"225273","","Nokturnal Mortum","","","Lunar Poetry","1996","7","n","","",  ""
"3225","","Iggy Pop","","","Lust for Life","1977","8","n","","",  ""
"4194425","","非常階段 [Hijokaidan]","","","Made in Studio","2012","7","n","","",  ""
"142671","","Madvillain","","","Madvillainy","2004","9","n","","",  ""
"2111043","","Magrudergrind","","","Magrudergrind","2009","7","n","","",  ""
"3453292","","Vinicio Capossela","","","Marinai, profeti e balene","2011","7","n","","",  ""
"1167","","Television","","","Marquee Moon","1977","10","n","","",  ""
"14808837","","Gaerea","","","Mirage","2022","6","n","","",  ""
"782491","","Battles","","","Mirrored","2007","7","n","","",  ""
"5716039","","Disentomb","","","Misery","2014","6","n","","",  ""
"774","","Thelonious Monk Quartet","","","Misterioso","1958","7","n","","",  ""
"152892","","Thelonious Monk","","","Monk.","1965","7","n","","",  ""
